Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2001,2001,1000 SLC,2560918,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2002,2002,1000 SLC,2506430,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2003,2003,1000 SLC,3814133,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2004,2004,1000 SLC,3269257,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2005,2005,1000 SLC,3269257,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2006,2006,1000 SLC,3269257,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2007,2007,1000 SLC,3277975,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2008,2008,1000 SLC,3051307,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2009,2009,1000 SLC,3295411,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2010,2010,1000 SLC,2680791,Fc,Calculated data
